entity;field;model_file
DeliveryDriver;rating;web/app/Models/DeliveryDriver.php
DeliveryDriver;is_active;web/app/Models/DeliveryDriver.php
DeliveryDriver;must_change_password;web/app/Models/DeliveryDriver.php
DeliveryDriver;latitude;web/app/Models/DeliveryDriver.php
DeliveryDriver;longitude;web/app/Models/DeliveryDriver.php
DeliveryDriver;last_seen_at;web/app/Models/DeliveryDriver.php
DeliveryDriver;last_login_at;web/app/Models/DeliveryDriver.php
DeliveryDriver;phone_verified_at;web/app/Models/DeliveryDriver.php
DeliveryDriver;is_online;web/app/Models/DeliveryDriver.php
DeliveryDriver;onboarding_status;web/app/Models/DeliveryDriver.php
DeliveryDriver;submitted_at;web/app/Models/DeliveryDriver.php
DeliveryDriver;reviewed_at;web/app/Models/DeliveryDriver.php
DeliveryDriver;reviewed_by;web/app/Models/DeliveryDriver.php
DeliveryDriver;rejection_reason;web/app/Models/DeliveryDriver.php
ReturnModel;order_reference;web/app/Models/ReturnModel.php
ReturnModel;product_name;web/app/Models/ReturnModel.php
ReturnModel;reason;web/app/Models/ReturnModel.php
ReturnModel;request_date;web/app/Models/ReturnModel.php
ReturnModel;status;web/app/Models/ReturnModel.php
ReturnModel;order_id;web/app/Models/ReturnModel.php
ReturnModel;order_item_id;web/app/Models/ReturnModel.php
ReturnModel;client_id;web/app/Models/ReturnModel.php
ReturnModel;vendor_id;web/app/Models/ReturnModel.php
ReturnModel;shop_id;web/app/Models/ReturnModel.php
ReturnModel;product_id;web/app/Models/ReturnModel.php
ReturnModel;quantity;web/app/Models/ReturnModel.php
ReturnModel;photo_proof;web/app/Models/ReturnModel.php
ReturnModel;refund_amount;web/app/Models/ReturnModel.php
ReturnModel;return_type;web/app/Models/ReturnModel.php
ReturnModel;logistics_status;web/app/Models/ReturnModel.php
ReturnModel;vendor_response;web/app/Models/ReturnModel.php
ReturnModel;accepted_at;web/app/Models/ReturnModel.php
ReturnModel;rejected_at;web/app/Models/ReturnModel.php
ReturnModel;refund_prepared_at;web/app/Models/ReturnModel.php
ReturnModel;refunded_at;web/app/Models/ReturnModel.php
ReturnModel;resolved_at;web/app/Models/ReturnModel.php
ReturnModel;meta;web/app/Models/ReturnModel.php
Payment;order_id;web/app/Models/Payment.php
Payment;method;web/app/Models/Payment.php
Payment;transaction_id;web/app/Models/Payment.php
Payment;amount;web/app/Models/Payment.php
Payment;status;web/app/Models/Payment.php
Payment;reference;web/app/Models/Payment.php
